#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00
# COMMENT: Some non-defined weapons commented out; may be wrong names, may not exist
# COMMENT: Some may require a bestiary to be loaded

# COMMENT: TEMPBONUS doesn't seem to apply to equipment; at least, they don't seem to be showing up
# COMMENT:     in the temporary bonus tab

# COMMENT: It is not intuitive for the user to click on "Create Monster" in the Summary tab to
# COMMENT:     add <class>'s Kit items to the character

###Block: Adding types to some armors and weapons, so they can be identified
# COMMENT: There should be an easier way
# Equipment Name		Type
Leather.MOD			TYPE:LeatherArmor
Cape of Daring Deeds													TYPE:Magic.Wondrous.Cloak		COST:9000	WT:2										EQMOD:Material ~ Cloth	SOURCEPAGE:p.228																																																BONUS:SAVE|ALL|2|TYPE=Resistance																	SPROP:can change color; when using derring-do 1st level swashbuckler deed, add additional die on natural 5 or 6; +2 resistance bonus on saves, +4 for 1 round when charmed life swashbuckler class feature used
Cape of Feinting														TYPE:Magic.Wondrous.Cloak		COST:14000	WT:1										EQMOD:Material ~ Cloth	SOURCEPAGE:p.228																																																																						SPROP:3/day spend a standard action to purposely miss opponent, opponent loses Dexterity AC until wearer's next turn; also dazed if swashbuckler is using the cape or swashbuckler performs superior feint deed, if the foe fails a DC 13 Will save
Cloak of Disarming													TYPE:Magic.Wondrous.Cloak		COST:35000	WT:1										EQMOD:Material ~ Cloth	SOURCEPAGE:p.228																																																																						SPROP:cloak can attempt disarm as swift action; spend 1 panache point to gain +5 competence bonus on disarm
Cloak of the Sneaky Scoundrel												TYPE:Magic.Wondrous.Cloak		COST:6400	WT:2										EQMOD:Material ~ Cloth	SOURCEPAGE:p.228																																																						BONUS:SKILL|Stealth|5|TYPE=Competence										SPROP:+5 competence to Stealth; has concealed scabbard (DC 20 Perception)	SPROP:Spend 1 panache point to vanish, as spell|PRECLASS:1,Swashbuckler=1
Cups of Rapport														TYPE:Magic.Wondrous			COST:8000	WT:1														SOURCEPAGE:p.228																																																																						SPROP:master and mark cups; after 5 minutes of drinking, user of master cup gets +5 bonus on Bluff, Diplomacy, and Sense Motive against user of mark cup, bonus lasts 1 hour or until users move more than 15 feet away from each other

Dire Collar															TYPE:Magic.Wondrous.Amulet		COST:1000	WT:2														SOURCEPAGE:p.229																																																																						SPROP:1/day animal gains benefits of enlarge person for 1 minute
Dire Collar (Greater)													TYPE:Magic.Wondrous.Amulet		COST:14000	WT:2														SOURCEPAGE:p.229																																																																						SPROP:1/day animal gains benefits of animal growth for 1 minute
Drinking Horn of the Panacea												TYPE:Magic.Wondrous			COST:12000	WT:1														SOURCEPAGE:p.229																																																																						SPROP:1/day creates liquid: cure serious wounds, neutralize poison, remove disease, or lesser restoration
Elixir of Sex Shift													TYPE:Magic.Wondrous.Consumable	COST:2250															SOURCEPAGE:p.229																																																																						SPROP:Permanently transforms imbiber's biology to take on a different set of sexual characteristics of their choice.
Elixir of the Thundering Voice											TYPE:Magic.Wondrous.Consumable	COST:250															SOURCEPAGE:p.229																																																																						SPROP:+10 to Intimidate for 1 hour																																																																										TEMPBONUS:ANYPC|SKILL|Intimidate|10|TYPE=Competence
False Face															TYPE:Magic.Wondrous.Headgear		COST:1600	WT:0.5													SOURCEPAGE:p.229																																																																						SPROP:assume appearance of specific Small or Medium humanoid creature

Gloves of Marking														TYPE:Magic.Wondrous.Glove		COST:7200	WT:1		SLOTS:2											SOURCEPAGE:p.230																																																																						SPROP:when wielding a slashing or piercing weapon and using Weapon Finesse, wearer can mark a creature when confirming a critical instead of dealing additional damage; wielder and allies get +2 morale bonus on attack and melee damage against marked creature for 1 minute, marked creature must save (Will DC %) or be shaken for 1 minute.|10+TL/2+DEX
Glowing Gourd														TYPE:Magic.Wondrous.Consumable	COST:4250	WT:8														SOURCEPAGE:p.230																																																																						SPROP:sheds light as candle; when smashed 40-foot radius area affected by hallow with attached remove fear
Handkerchief of Finding													TYPE:Magic.Wondrous			COST:15000															SOURCEPAGE:p.230																																																																						SPROP:attune to handkerchief by having it for 1 week; once attuned, can sense direction to handkerchief. Bearer unaware of the handkerchief 's power cannot attune to it.
# TODO: is this set up to be bonified?
Headband of the Wolf													TYPE:Magic.Wondrous.Headband		COST:5000	WT:0.5													SOURCEPAGE:p.230																																																																						SPROP:gain scent to 10 feet as wolf aspect of the hunter's animal focus class feature; if wearer is a hunter, increase wearer's effective hunter level for the wolf aspect by 8
Helm of the Valkyrie													TYPE:Magic.Wondrous.Headgear		COST:16000	WT:3														SOURCEPAGE:p.230																																																																						SPROP:1/day summon giant spectral wolf (as phantom steed, CL 14, but with AC 24 and 100 hp) for up to 24 hours
Howling Bracers														TYPE:Magic.Wondrous.Bracer		COST:7000	WT:1		SLOTS:2											SOURCEPAGE:p.230																																																																						SPROP:1/day crushing despair (DC 16); for every two creatures under effect of wearer's raging song, DC increases by 1 (maximum increase 5)

Hunter's Tree Fort													TYPE:Magic.Wondrous			COST:10000	WT:1														SOURCEPAGE:p.231																																																																						SPROP:box becomes stable platform hidden in tree: either tree house or blind; can be used for 12 hours in any 24-hour period
# TODO: 3 uses
Incense of Eidos														TYPE:Magic.Wondrous.Consumable	COST:2000	WT:1														SOURCEPAGE:p.231																																																																						SPROP:after 10 minutes meditation, take 20 on any knowledge check for 10 minutes (3 uses)
Investigator's Pipe													TYPE:Magic.Wondrous			COST:9000															SOURCEPAGE:p.231																																																																						SPROP:1 hour/day smoky unseen servant that can clear smoke or fog	SPROP:can use inspiration on Survival checks to track or Perception checks to notice fine detaions without spending a use; 1/day attempt Knowledge check as eidetic recollection investigator talent|PRECLASS:1,Investigator=1
Iron Collar of the Unbound Coven											TYPE:Magic.Wondrous.Amulet		COST:46000	WT:2														SOURCEPAGE:p.231	ABILITY:Special Ability|AUTOMATIC|Iron Collar of the Unbound Coven ~ Champion of the Unbound Coven|Iron Collar of the Unbound Coven ~ Dreadful Gaze|Iron Collar of the Unbound Coven ~ Hag Form|PREMULT:2,[PRECLASS:1,Witch=1],[PREABILITY:1,CATEGORY=Special Ability,Witch Hex ~ Coven]																							SPROP:gain powers if wearer is a witch with the coven hex

Lantern of Auras														TYPE:Magic.Wondrous			COST:2000	WT:2														SOURCEPAGE:p.232																																																																						SPROP:bullseye lantern needs no oil, detect magic on command
# TODO: is this set up to be bonified?
Lenses of the Predator's Gaze												TYPE:Magic.Wondrous.Eyes		COST:8000															SOURCEPAGE:p.232																																																																						SPROP:target creature as standard action, if target not already target of wearer's studied target class feature, get +1 on Bluff, Knowledge, Perception, Sense Motive, Survival, weapon attack rolls and damage rolls against that creature	SPROP:as free action, increase effective slayer level by 5 for studied target class feature|PREABILITY:1,CATEGORY=Special Ability,Slayer ~ Studied Target
Lute of the Battle Ready (+1 spear)											TYPE:Magic.Wondrous.Instrument	COST:2000	WT:3														SOURCEPAGE:p.232																																																																						SPROP:3/day can transform into +1 spear for 1 minute or until changed back
Lute of the Battle Ready (+1 longsword)										TYPE:Magic.Wondrous.Instrument	COST:2000	WT:3														SOURCEPAGE:p.232																																																																						SPROP:3/day can transform into +1 longsword for 1 minute or until changed back
Lute of the Battle Ready (+1 battleaxe)										TYPE:Magic.Wondrous.Instrument	COST:2000	WT:3														SOURCEPAGE:p.232																																																																						SPROP:3/day can transform into +1 battleaxe for 1 minute or until changed back
One-Way Window														TYPE:Magic.Wondrous			COST:7500	WT:1														SOURCEPAGE:p.232																																																																						SPROP:set against solid surface to become a one-way window (penetrate 1 foot wood, 6 inches stone, 1 inch metal). No visible evidence of the of the window appears on the opposite side of surface and no items, light, sound, spells, or spell effects can pass through the window and divination magic does not function.

Physician's Spectacles													TYPE:Magic.Wondrous.Eyes		COST:4900															SOURCEPAGE:p.233																																																																						SPROP:constant detect poison and diagnose disease; 1/day delay poison by touch
Plume of Panache														TYPE:Magic.Wondrous.Headgear		COST:1000															SOURCEPAGE:p.233																																																																						SPROP:User must affix it to a non-magical hat worth at least 10 gp. 1/day, when the wearer performs a deed, the plume provides her with 1 panache point that can be used for that deed. Once used the plume appears bedraggled until its magic is replenished.
Poet's Cloak														TYPE:Magic.Wondrous.Cloak		COST:9750	WT:1										EQMOD:Material ~ Cloth	SOURCEPAGE:p.233																																																																						SPROP:grants use of raging song as 4th-level skald by spending rounds of bardic performance|PREABILITY:1,CATEGORY=Special Ability,Bard ~ Bardic Performance	SPROP:grants use of inspire courage and inspire competence as a 4th-level bard by spending rounds of raging song|PREABILITY:1,CATEGORY=Special Ability,Skald ~ Raging Song	SPROP:Grant particular rage power when using raging song; rage power must be useable by 4th-level skald; no prerequisites other than level
#	CHOOSE:USERINPUT|TITLE=Built-In Rage Power
Preyfinder															TYPE:Magic.Wondrous			COST:85000															SOURCEPAGE:p.233																																																																						SPROP:can see and track creature that blood was taken from	SPROP:+1 insight bonus on all attack and damage rolls against quarry, or 1/day use own blood to gain a +2 morale bonus on all attack rolls, saves, and skill checks for 1 minute|PREMULT:2,[PRECLASS:1,Slayer=1],[PREABILITY:1,CATEGORY=Special Ability,Slayer ~ Studied Target]

Restoration Dust														TYPE:Magic.Wondrous.Consumable	COST:2000															SOURCEPAGE:p.234																																																																						SPROP:reform partially decomposed corpse or skeleton
Runes of the Crone's Coven												TYPE:Magic.Wondrous			COST:16000	WT:1														SOURCEPAGE:p.234																																																																						SPROP:1/day when using spell kenning, can cast spells from the witch spell list (twice as long casting, spell slot 1 level higher)
Runes of the Old Faith													TYPE:Magic.Wondrous			COST:16000	WT:1														SOURCEPAGE:p.234																																																																						SPROP:1/day when using spell kenning, can cast spells from the druid spell list (twice as long casting, spell slot 1 level higher)
Runestone of Power (1st Level)											TYPE:Magic.Wondrous			COST:2000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 1st-level spell slot for spontaneous caster
Runestone of Power (2nd Level)											TYPE:Magic.Wondrous			COST:8000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 2nd-level spell slot for spontaneous caster
Runestone of Power (3rd Level)											TYPE:Magic.Wondrous			COST:18000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 3rd-level spell slot for spontaneous caster
Runestone of Power (4th Level)											TYPE:Magic.Wondrous			COST:32000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 4th-level spell slot for spontaneous caster
Runestone of Power (5th Level)											TYPE:Magic.Wondrous			COST:50000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 5th-level spell slot for spontaneous caster
Runestone of Power (6th Level)											TYPE:Magic.Wondrous			COST:72000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 6th-level spell slot for spontaneous caster
Runestone of Power (7th Level)											TYPE:Magic.Wondrous			COST:98000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 7th-level spell slot for spontaneous caster
Runestone of Power (8th Level)											TYPE:Magic.Wondrous			COST:128000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 8th-level spell slot for spontaneous caster
Runestone of Power (9th Level)											TYPE:Magic.Wondrous			COST:162000															SOURCEPAGE:p.234																																																																						SPROP:1/day use as 9th-level spell slot for spontaneous caster
Saboteur's Goggles													TYPE:Magic.Wondrous.Eyes		COST:16000															SOURCEPAGE:p.234																																																																						SPROP:3/day use murderous command as a gaze attack (Will DC 16 negates)

Scabbard of Many Blades													TYPE:Magic.Wondrous			COST:5000	WT:3														SOURCEPAGE:p.235																																																																						SPROP:can hold 4 two-handed weapons or 8 one-handed or light weapons, can store rods and staves; can switch weapons as a move action (swift with Quick Draw)
# COMMENT: +2 to DC of brawler's knockout class feature; can this be bonified?
Skullcrusher Gauntlets													TYPE:Magic.Wondrous.Glove		COST:15302	WT:6		SLOTS:2											SOURCEPAGE:p.235																																																																						SPROP:1/day make single attack as full-round action to deal 4d6 force damage and target must save (Fort DC 15) or fall unconscious until the end of its next turn, staggered if save is made
# TODO: conditional skill?
Slayer's Robe														TYPE:Magic.Wondrous.Robe		COST:15000	WT:5				DEFINE:SlayersRobeStealthBonus|0					SOURCEPAGE:p.235																																																						BONUS:SKILL|Stealth|SlayersRobeStealthBonus|TYPE=Competence	BONUS:VAR|SlayersRobeStealthBonus|5	SPROP:5 min/day gaseous form; +5 bonus to Stealth (+10 in gaseous form) and +5 to Sleight of Hand to conceal a weapon, +1 resistance bonus to saves	SPROP:bonus to saves increases to studied target bonus when facing a studied target|PRECLASS:1,Slayer=1																																					TEMPBONUS:PC|VAR|SlayersRobeStealthBonus|5|DESC=In Gaseous Form
# TODO: Will choosers work?
Spell Lattice (1st Level)												TYPE:Magic.Wondrous			COST:1000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (2nd Level)												TYPE:Magic.Wondrous			COST:4000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (3rd Level)												TYPE:Magic.Wondrous			COST:9000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=3;LEVELMAX=1]
Spell Lattice (4th Level)												TYPE:Magic.Wondrous			COST:16000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (5th Level)												TYPE:Magic.Wondrous			COST:25000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (6th Level)												TYPE:Magic.Wondrous			COST:36000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (7th Level)												TYPE:Magic.Wondrous			COST:49000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (8th Level)												TYPE:Magic.Wondrous			COST:64000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]
Spell Lattice (9th Level)												TYPE:Magic.Wondrous			COST:81000	WT:1														SOURCEPAGE:p.235																																																																						SPROP:spontaneous caster can cast contained spell as if a spell known (if on caster's spell list)	SPROP:can cast spell as if it were prepared (if on caster's spell list)|PRECLASS:1,Arcanist=1
#	CHOOSE:SPELLS|ALL[LEVELMIN=1;LEVELMAX=1]

Storyteller's Dust													TYPE:Magic.Wondrous.Consumable	COST:600															SOURCEPAGE:p.236																																																																						SPROP:create 10-foot cube manipulatable minor image above fire, lasts 2 hours, +2 Performance checks to tell a story using the image
Swordmaster's Flair (Blue Scarf)											TYPE:Magic.Wondrous			COST:2500															SOURCEPAGE:p.236																																																																						SPROP:when in off-hand, can spend 1 panache point to increase melee reach with light or one-handed weapons by 5 feet; 1/day use without panache
Swordmaster's Flair (Green Glove)											TYPE:Magic.Wondrous			COST:2500															SOURCEPAGE:p.236																																																																						SPROP:when in off-hand, can spend 1 panache point to ignore effects of difficult terrain until end of turn; 1/day use without panache
Swordmaster's Flair (Red Sash)											TYPE:Magic.Wondrous			COST:2500															SOURCEPAGE:p.236																																																																						SPROP:when in off-hand, can spend 1 panache point to trip creature that ends charge within user's melee reach (no AoO, before charge attack, +2 bonus on check), charger can't attack if successful; 1/day use without panache
Swordmaster's Flair (White Lace Kerchief)										TYPE:Magic.Wondrous			COST:2500															SOURCEPAGE:p.236																																																																						SPROP:when in off-hand, can spend 1 panache point to pinpoint an unseen adjacent enemy and gain benefits of Blind-Fight for 1 round; 1/day use without panache
Figurine of Wondrous Power (Tin Imp)		OUTPUTNAME:Figurine of Wondrous Power, [NAME]	TYPE:Magic.Wondrous			COST:13000	WT:1														SOURCEPAGE:p.236																																																																						SPROP:can be used 48 hours per week but need not be continuous
Toothpick of Pyrotechnics												TYPE:Magic.Wondrous.Consumable	COST:400															SOURCEPAGE:p.236																																																																						SPROP:creates a flash and a cloud of smoke; creatures within 20 feet must save (Fort DC:13) or be blinded for 1d4+1 rounds; 20 foot smoke cloud lasts for 3 rounds

Torc of Bloody Rage													TYPE:Magic.Wondrous.Amulet		COST:8000	WT:1														SOURCEPAGE:p.237																																																																						SPROP:1/day enter rage (as spell) for 6 rounds, except fatigued for 12 rounds afterwards, or gain 3 additional rounds of rage
Torc of the Primal Song													TYPE:Magic.Wondrous.Amulet		COST:6000	WT:4														SOURCEPAGE:p.237																																																																						SPROP:when performing or benefiting from raging song, gain Diehard feat and benefit from helpful raging song or bardic performance for 1 round after end
Trollbone															TYPE:Magic.Wondrous.Consumable	COST:2400	WT:1														SOURCEPAGE:p.237																																																																						SPROP:toss up to 20 feet away to grow into troll under your control for 2d4 rounds or until end of bardic performance
Vanishing Sheath														TYPE:Magic.Wondrous.Bracer		COST:5000	WT:1														SOURCEPAGE:p.237																																																																						SPROP:extradimensional space holds one light weapon, wand, or piece of ammunition up to 5 pounds; wield weapon as swift action (if hand empty)
Wand Key Ring														TYPE:Magic.Wondrous			COST:3000	WT:8														SOURCEPAGE:p.237																																																																						SPROP:+10 insight bonus to use UMD to activate specific spell on scroll or in spell trigger item
#	CHOOSE:SPELLS|ALL
Whistle of Calling													TYPE:Magic.Wondrous.Instrument	COST:6300															SOURCEPAGE:p.237																																																																						SPROP:1/day attuned mount or animal companion within 1 mile teleported to safe space within 30 feet

#
# End
#
