# CVS $Revision$ $Author$ -- Thu Feb  5 15:53:35 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Dawnforge	SOURCESHORT:DF	SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html	SOURCEDATE:2003-10
# Original Entry by: Ratheof Blithwyn

###########################
##   Legendary Paths     ##
###########################

# Feat Name					Type				Visible	Required Stat	Required var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
# Ability Name				Category of Ability		Type				Visible		Required Stat	Required Var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
Path of the Mighty 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=18							SAB:Path of the Mighty (1st Circle)|PREVAREQ:LegendaryPathMighty,1		DEFINE:LegendaryPathMighty|0		BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Cheat Death III		CATEGORY:Special Ability	TYPE:LegendaryCheatDeath.IconLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCheatDeath		PRECLASS:1,Icon=3	SAB:Cheat Death III (3/day)											SOURCEPAGE:p81
Cheat Death IV		CATEGORY:Special Ability	TYPE:LegendaryCheatDeath.IconLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCheatDeath		PRECLASS:1,Icon=4	SAB:Cheat Death IV (4/day)											SOURCEPAGE:p81
Cheat Death V		CATEGORY:Special Ability	TYPE:LegendaryCheatDeath.IconLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryCheatDeath		PRECLASS:1,Icon=5	SAB:Cheat Death V (5/day)											SOURCEPAGE:p81
Skill Mastery I		CATEGORY:Special Ability	TYPE:LegendarySkillMastery.IconLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySkillMastery		PRECLASS:1,Icon=1	SAB:Skill Mastery I			BONUS:SKILL|Diplomacy,Intimidate,Sense Motive|5		SOURCEPAGE:p81
Skill Mastery II		CATEGORY:Special Ability	TYPE:LegendarySkillMastery.IconLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySkillMastery		PRECLASS:1,Icon=2	SAB:Skill Mastery II			BONUS:SKILL|Diplomacy,Intimidate,Sense Motive|10	SOURCEPAGE:p81
Skill Mastery III		CATEGORY:Special Ability	TYPE:LegendarySkillMastery.IconLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySkillMastery		PRECLASS:1,Icon=3	SAB:Skill Mastery III			BONUS:SKILL|Diplomacy,Intimidate,Sense Motive|15	SOURCEPAGE:p81
Skill Mastery IV		CATEGORY:Special Ability	TYPE:LegendarySkillMastery.IconLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySkillMastery		PRECLASS:1,Icon=4	SAB:Skill Mastery IV			BONUS:SKILL|Diplomacy,Intimidate,Sense Motive|20	SOURCEPAGE:p81
Skill Mastery V		CATEGORY:Special Ability	TYPE:LegendarySkillMastery.IconLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySkillMastery		PRECLASS:1,Icon=5	SAB:Skill Mastery V			BONUS:SKILL|Diplomacy,Intimidate,Sense Motive|25	SOURCEPAGE:p81

###Block:Master Arcanist legendary abilities
# Feat Name					Type										Visible		Required Class				Special Ability					Bonus												Source Page		Filter
#The Essence of Magic
# Feat Name					Type									Visible	Required Class			Prohibited Feat						Special ABility				Bonus to skill									Source Page
# Ability Name				Category of Ability		Type									Visible		Restricted Ability									Required Class			Special ABility				Bonus to skill									Source Page
Master of the Mundane Arts I		CATEGORY:Special Ability	TYPE:LegendaryMasterMundaneArts.MasterArcanistLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryMasterMundaneArts	PRECLASS:1,Master Arcanist=1	SAB:Master of the Mundane Arts I	BONUS:SKILL|Craft (Alchemy),Knowledge (Arcana),Spellcraft|5		SOURCEPAGE:p82
Master of the Mundane Arts II		CATEGORY:Special Ability	TYPE:LegendaryMasterMundaneArts.MasterArcanistLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryMasterMundaneArts	PRECLASS:1,Master Arcanist=2	SAB:Master of the Mundane Arts II	BONUS:SKILL|Craft (Alchemy),Knowledge (Arcana),Spellcraft|10	SOURCEPAGE:p82
Master of the Mundane Arts III	CATEGORY:Special Ability	TYPE:LegendaryMasterMundaneArts.MasterArcanistLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryMasterMundaneArts	PRECLASS:1,Master Arcanist=3	SAB:Master of the Mundane Arts III	BONUS:SKILL|Craft (Alchemy),Knowledge (Arcana),Spellcraft|15	SOURCEPAGE:p82
Master of the Mundane Arts IV		CATEGORY:Special Ability	TYPE:LegendaryMasterMundaneArts.MasterArcanistLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryMasterMundaneArts	PRECLASS:1,Master Arcanist=4	SAB:Master of the Mundane Arts IV	BONUS:SKILL|Craft (Alchemy),Knowledge (Arcana),Spellcraft|20	SOURCEPAGE:p82
Master of the Mundane Arts V		CATEGORY:Special Ability	TYPE:LegendaryMasterMundaneArts.MasterArcanistLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryMasterMundaneArts	PRECLASS:1,Master Arcanist=5	SAB:Master of the Mundane Arts V	BONUS:SKILL|Craft (Alchemy),Knowledge (Arcana),Spellcraft|25	SOURCEPAGE:p82
Unearthly Might I				CATEGORY:Special Ability	TYPE:LegendaryUnearthlyMight.MasterArcanisLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnearthlyMight	PRECLASS:1,Master Arcanist=1	SAB:Unearthly Might I (+2)													SOURCEPAGE:p82
Unearthly Might II			CATEGORY:Special Ability	TYPE:LegendaryUnearthlyMight.MasterArcanisLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnearthlyMight	PRECLASS:1,Master Arcanist=2	SAB:Unearthly Might II (+4)													SOURCEPAGE:p82
Unearthly Might III			CATEGORY:Special Ability	TYPE:LegendaryUnearthlyMight.MasterArcanisLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnearthlyMight	PRECLASS:1,Master Arcanist=3	SAB:Unearthly Might III (+6)													SOURCEPAGE:p82
Unearthly Might IV			CATEGORY:Special Ability	TYPE:LegendaryUnearthlyMight.MasterArcanisLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnearthlyMight	PRECLASS:1,Master Arcanist=4	SAB:Unearthly Might IV (+8)													SOURCEPAGE:p82
Unearthly Might V				CATEGORY:Special Ability	TYPE:LegendaryUnearthlyMight.MasterArcanisLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnearthlyMight	PRECLASS:1,Master Arcanist=5	SAB:Unearthly Might V (+10)													SOURCEPAGE:p82
#Increased Spell Power
Arcane Resistance I			CATEGORY:Special Ability	TYPE:LegendaryArcaneResistance.MasterArcanisLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryArcaneResistance	PRECLASS:1,Master Arcanist=1	SAB:Arcane Resistance I (+1)													SOURCEPAGE:p82
Arcane Resistance II			CATEGORY:Special Ability	TYPE:LegendaryArcaneResistance.MasterArcanisLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryArcaneResistance	PRECLASS:1,Master Arcanist=2	SAB:Arcane Resistance II (+2)													SOURCEPAGE:p82
Arcane Resistance III			CATEGORY:Special Ability	TYPE:LegendaryArcaneResistance.MasterArcanisLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryArcaneResistance	PRECLASS:1,Master Arcanist=3	SAB:Arcane Resistance III (+3)												SOURCEPAGE:p82
Arcane Resistance IV			CATEGORY:Special Ability	TYPE:LegendaryArcaneResistance.MasterArcanisLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryArcaneResistance	PRECLASS:1,Master Arcanist=4	SAB:Arcane Resistance IV (+4)													SOURCEPAGE:p82
Arcane Resistance V			CATEGORY:Special Ability	TYPE:LegendaryArcaneResistance.MasterArcanisLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryArcaneResistance	PRECLASS:1,Master Arcanist=5	SAB:Arcane Resistance V (+5)													SOURCEPAGE:p82


###Block:Unsuffering legendary abilities
# Feat Name			Type								Visible	Required Class			Prohibited Feat					Special ABility						Source Page
# Ability Name		Category of Ability		Type								Visible		Restricted Ability									Required Class			Special ABility						Source Page
Rage Against Death I	CATEGORY:Special Ability	TYPE:LegendaryRageAgainstDeath.UnsufferingLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryRageAgainstDeath	PRECLASS:1,Unsuffering=1	SAB:Rage Against Death I (+1)				SOURCEPAGE:p83
Rage Against Death II	CATEGORY:Special Ability	TYPE:LegendaryRageAgainstDeath.UnsufferingLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryRageAgainstDeath	PRECLASS:1,Unsuffering=2	SAB:Rage Against Death II (+2)			SOURCEPAGE:p83
Rage Against Death III	CATEGORY:Special Ability	TYPE:LegendaryRageAgainstDeath.UnsufferingLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryRageAgainstDeath	PRECLASS:1,Unsuffering=3	SAB:Rage Against Death III (+3)			SOURCEPAGE:p83
Rage Against Death IV	CATEGORY:Special Ability	TYPE:LegendaryRageAgainstDeath.UnsufferingLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryRageAgainstDeath	PRECLASS:1,Unsuffering=4	SAB:Rage Against Death IV (+4)			SOURCEPAGE:p83
Rage Against Death V	CATEGORY:Special Ability	TYPE:LegendaryRageAgainstDeath.UnsufferingLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryRageAgainstDeath	PRECLASS:1,Unsuffering=5	SAB:Rage Against Death V (+5)				SOURCEPAGE:p83
Unstoppable I		CATEGORY:Special Ability	TYPE:LegendaryUnstoppable.UnsufferingLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppable		PRECLASS:1,Unsuffering=1	SAB:Unstoppable I (-10hp 1minute)			SOURCEPAGE:p83
Unstoppable II		CATEGORY:Special Ability	TYPE:LegendaryUnstoppable.UnsufferingLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppable		PRECLASS:1,Unsuffering=2	SAB:Unstoppable II (-20hp 2minute)			SOURCEPAGE:p83
Unstoppable III		CATEGORY:Special Ability	TYPE:LegendaryUnstoppable.UnsufferingLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppable		PRECLASS:1,Unsuffering=3	SAB:Unstoppable III (-30hp 3minute)			SOURCEPAGE:p83
Unstoppable IV		CATEGORY:Special Ability	TYPE:LegendaryUnstoppable.UnsufferingLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppable		PRECLASS:1,Unsuffering=4	SAB:Unstoppable IV (-40hp 4minute)			SOURCEPAGE:p83
Unstoppable V		CATEGORY:Special Ability	TYPE:LegendaryUnstoppable.UnsufferingLPL5		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryUnstoppable		PRECLASS:1,Unsuffering=5	SAB:Unstoppable V (-50hp 5minute)			SOURCEPAGE:p83
Sorcery Overpower I	CATEGORY:Special Ability	TYPE:LegendarySorceryOverpower.UnsufferingLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySorceryOverpower	PRECLASS:1,Unsuffering=1	SAB:Sorcery Overpower I (3 spell levels/day)	SOURCEPAGE:p83
Sorcery Overpower II	CATEGORY:Special Ability	TYPE:LegendarySorceryOverpower.UnsufferingLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySorceryOverpower	PRECLASS:1,Unsuffering=2	SAB:Sorcery Overpower II (6 spell levels/day)	SOURCEPAGE:p83
Sorcery Overpower III	CATEGORY:Special Ability	TYPE:LegendarySorceryOverpower.UnsufferingLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySorceryOverpower	PRECLASS:1,Unsuffering=3	SAB:Sorcery Overpower III (9 spell levels/daye)	SOURCEPAGE:p83
Sorcery Overpower IV	CATEGORY:Special Ability	TYPE:LegendarySorceryOverpower.UnsufferingLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySorceryOverpower	PRECLASS:1,Unsuffering=4	SAB:Sorcery Overpower IV (12 spell levels/day)	SOURCEPAGE:p83
Sorcery Overpower V	CATEGORY:Special Ability	TYPE:LegendarySorceryOverpower.UnsufferingLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySorceryOverpower	PRECLASS:1,Unsuffering=5	SAB:Sorcery Overpower V (15 spell levels/day)	SOURCEPAGE:p83
Drain Resistance I	CATEGORY:Special Ability	TYPE:LegendaryDrainResistance.UnsufferingLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDrainResistance	PRECLASS:1,Unsuffering=1	SAB:Drain Resistance I (3 points/day)		SOURCEPAGE:p84
Drain Resistance II	CATEGORY:Special Ability	TYPE:LegendaryDrainResistance.UnsufferingLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDrainResistance	PRECLASS:1,Unsuffering=2	SAB:Drain Resistance II (6 points/day)		SOURCEPAGE:p84
Drain Resistance III	CATEGORY:Special Ability	TYPE:LegendaryDrainResistance.UnsufferingLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDrainResistance	PRECLASS:1,Unsuffering=3	SAB:Drain Resistance III (9 points/day)		SOURCEPAGE:p84
Drain Resistance IV	CATEGORY:Special Ability	TYPE:LegendaryDrainResistance.UnsufferingLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDrainResistance	PRECLASS:1,Unsuffering=4	SAB:Drain Resistance IV (12 points/day)		SOURCEPAGE:p84
Drain Resistance V	CATEGORY:Special Ability	TYPE:LegendaryDrainResistance.UnsufferingLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDrainResistance	PRECLASS:1,Unsuffering=5	SAB:Drain Resistance V (15 points/day)		SOURCEPAGE:p84
#Energy Resistance


#
# EOF
#
