#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Starfinder Core Rulebook	SOURCESHORT:SCR	SOURCEDATE:2017-09
# Original Entry by: Gwen T

###Magic Items###
# Equipment Name					Type								Contains					Cost		Weight	Requires Modification?	Source Page		Bonus Ability Pool				Caster level				Bonus to skill							Modify VAR			Quality and value														Special Property
Aeon Stone (Clear Spindle)			TYPE:Magic.Aeon.WornMagic										COST:245							SOURCEPAGE:p.222																											QUALITY:Level|1	QUALITY:Bulk|-
Aeon Stone (Dark Blue Rhomboid)		TYPE:Magic.Aeon.WornMagic										COST:18000							SOURCEPAGE:p.222														BONUS:SKILL|Perception,Sense Motive|2|TYPE=Insight					QUALITY:Level|10	QUALITY:Bulk|-
Aeon Stone (Iridescent Spindle)		TYPE:Magic.Aeon.WornMagic										COST:740							SOURCEPAGE:p.222																											QUALITY:Level|2	QUALITY:Bulk|-
Aeon Stone (Pearly White Spindle)		TYPE:Magic.Aeon.WornMagic										COST:25000							SOURCEPAGE:p.222								BONUS:CASTERLEVEL|TYPE.Spell|1														QUALITY:Level|11	QUALITY:Bulk|-
Spell Gem (Discharge (Greater))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Disintegrate)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Enshrining Refuge)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Ethereal Jaunt)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Flesh to Stone)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Flight (Level 6))			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Gravitational Singularity)	TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 6))	TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Inflict Pain (Mass))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Interplanetary Teleport)		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Invisibility (Mass))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 6))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 6))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Mass)(Level 6))	TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Planar Barrier)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Planar Binding (Level 6))	TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Plane Shift)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Psychic Surgery)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Regenerate)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Resistant Armor (Greater))	TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Rewire Flesh (Mass))		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Shadow Walk)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Shadowy Fleet)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Snuff Life)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Subjective Reality)		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Suggestion (Mass))			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Sympathetic Vibration)		TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Telepathic Jaunt)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Terraform)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (True Seeing)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Veil)					TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Vision)				TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L
Spell Gem (Wall of Steel)			TYPE:Magic.SpellGem.Consumable									COST:36650	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|17	QUALITY:Bulk|L

# Weapon Fusion
Weapon Infusuion Seal (ANARCHIC)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (ANCHORING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (AXIOMATIC)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (BANE)			TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (BLASTING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (BLEEDING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (BURST)			TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (CALLED)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (CORROSIVE)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DEAFENING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DEFIANT)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DEVASTATING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DISPELLING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DISRUPTIVE)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (DURABLE)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (ENTANGLING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (FLAMING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (FROST)			TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (GHOST KILLER)	TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (GLAMERED)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (HOLY)			TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (HYBRIDIZED)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (ILLUMINATING)	TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (KNOCKDOWN)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (MERCIFUL)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (OMINOUS)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (RETURNING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (SEEKING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (SHOCK)			TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (SPELLTHROWER)	TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (THUNDERING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (TRAILBLAZER)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (UNHOLY)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (VENOMOUS)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (VORPAL)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
Weapon Infusuion Seal (WOUNDING)		TYPE:Weapon Infusion Seal														MODS:REQUIRED
