# CVS $Revision$ $Author$ -- Mon Sep 15 21:55:54 2014 -- reformated by prettylst.pl v1.51 (build 25129)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01
Neothelid Breath Weapon			OUTPUTNAME:Breath Weapon																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath weapon (Su) - every 1d4 rounds, 50 ft cone, 14d10 points of acid damage, Ref save (DC %1) for half|10+(HD/2)+CON
Night Terror Fear Aura			OUTPUTNAME:Fear Aura																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fear Aura (Su) - Will save (DC %1) or be shaken|10+HD/2|CHA
Night Terror Terrify			OUTPUTNAME:Terrify																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Terrify (Su) - Will save (DC %1) or lose 1d4 points of Wis damage|10+(HD/2)+CHA
Satanic Ichor Immunities		OUTPUTNAME:Immune to all weapons except ones that deal energy damage, such as stun guns and kroath dark plasma rifles	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Immune to all weapons except ones that deal energy damage, such as stun guns and kroath dark plasma rifles
Star Doppelganger Fear Aura		OUTPUTNAME:Fear Aura																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fear Aura (Su) - Will save (DC %1) or be stunned for 1d4 rounds|10+TL/2+CHA
Star Doppelganger Flesh Transfer	OUTPUTNAME:Flesh Transfer																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Flesh Transfer (Ex) - Fort save (DC %1) or begin to become a star doppelganger|10+TL/2+CON
Star Doppelganger Immunities		OUTPUTNAME:Immunities																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Immunities (Ex) - suffocation, inhaled poisons, and other detrimental atmospheric effects
Thunderbird Breath Weapon		OUTPUTNAME:Breath Weapon																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) - Every 1d4 rounds, 60' cone of sonic energy that deals %1d10 points of damage, Ref save (DC %2) for half|TL/2|10+TL/2+CON
Thunderbird Fear Aura			OUTPUTNAME:Fear Aura																	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fear Aura (Su) - Will save (DC %1) or be shaken for 1d4 rounds|10+TL/2+CHA
Urban Wendigo Rage			OUTPUTNAME:Enters rage when wounded, and can not end it voluntarily									CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Enters rage when wounded, and can not end it voluntarily
Wyrm Breath Weapon			OUTPUTNAME:Breath Weapon																CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Breath Weapon (Su) -Line of Fire every 1d4 rounds %1d10 fire (Reflex DC %2)|WyrmBreathDice|WyrmBreathDC												DEFINE:WyrmBreathDice|0	DEFINE:WyrmBreathDC|0	BONUS:VAR|WyrmBreathDice|3
Roach Thrall Disguise Checks		OUTPUTNAME:+10 species bonus on Disguise checks in human host										CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:+10 species bonus on Disguise checks in human host

###Block: Toxyderm Breath Weapons
# Ability Name				Output Name				Category of Ability		Type						Visible	Special ABility
Chemical Toxyderm Breath Weapon	OUTPUTNAME:Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Breath Weapon (Ex) ~ 50 ft cone, 15d6 points of damage, Ref save (DC %1) for half|10+TL/2+CON
Garbage Toxyderm Breath Weapon	OUTPUTNAME:Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Breath Weapon (Ex) ~ 50 ft cone, 10d6 points of bludgeoning damage, Ref save  (DC %1) for half|10+TL/2+CON
Nuclear Toxyderm Breath Weapon	OUTPUTNAME:Breath Weapon	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Breath Weapon (Ex)  100 ft cone of white-hot nuclear slag and full spectrum radiation ,20d6 points of damage to all in its path, Ref save (DC %1) for half|10+TL/2+CON

###Block: Extraterrestial Poisonous Bite
# Ability Name						Output Name				Category of Ability		Type						Visible	Special ABility																	Description
Extraterrestial Poisonous Bite ~ Cha		OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Cha damage - 2d4 initial, 2d4 secondary, Fort save (DC %1) to negate|10+(TL/2)+CON
Extraterrestial Poisonous Bite ~ Con		OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Con damage - 1d4 initial, 1d4 secondary, Fort save (DC %1) to negate|10+(TL/2)+CON
Extraterrestial Poisonous Bite ~ Dex		OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Dex damage - 1d6 initial, 1d6 secondary, Fort save (DC %1) to negate|10+(TL/2)+CON
Extraterrestial Poisonous Bite ~ Paralysis	OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Paralysis - no initial, 1d6 hours secondary, Fort save (DC %1) to negate|10+(TL/2)+CON
Extraterrestial Poisonous Bite ~ Str		OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Str damage - 1d6 initial, 1d6 secondary, Fort save (DC %1) to negate|10+(TL/2)+CON
Extraterrestial Poisonous Bite ~ Wis		OUTPUTNAME:Poisonous Bite	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wis damage - 2d4 initial, 2d4 secondary, Fort save (DC %1) to negate|10+(TL/2)+CON

#
# End
#
