#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXVER:6.0.0	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXDEVVER:6.1.2
#EQUIPMENT:Kasari Gusoku		NEWKEY:Kusari Gusoku	MAXVER:6.1.8
#ABILITY:Archetype|Fighter Archetype ~ Aldori Sworldlord	NEWKEY:Fighter Archetype ~ Aldori Swordlord	MAXVER:6.00.01	MAXDEVVER:6.01.08

	
#ABILITY:Special Ability|Barbarian Fast Movement	NEWKEY:Barbarian ~ Fast Movement	MAXVER:6.4.0

#ABILITY:Special Ability|Barbarian DR	NEWKEY:Barbarian ~ Damage Reduction	MAXVER:6.4.0

#35e Game MODE




































### 6.0
#ABILITY:Special Ability|Plane Shift ~ Bebilith				
#ABILITY:Special Ability|Skills ~ Bebilith					
#ABILITY:Special Ability|Natural Weapons ~ Dretch				
#ABILITY:Special Ability|Spell-Like Abilities ~ Dretch			
#ABILITY:Special Ability|Summon Demon ~ Dretch				
#ABILITY:Special Ability|Telepathy ~ Dretch					
#ABILITY:Special Ability|Natural Weapons ~ Glabrezu			
#ABILITY:Special Ability|Improved Grab ~ Glabrezu				
#ABILITY:Special Ability|Spell-Like Abilities ~ Glabrezu			
#ABILITY:Special Ability|Summon Demon ~ Glabrezu				
#ABILITY:Special Ability|True Seeing ~ Glabrezu				
#ABILITY:Special Ability|Skills ~ Glabrezu					
#ABILITY:Special Ability|Natural Weapons ~ Hezrou				
#ABILITY:Special Ability|Improved Grab ~ Hezrou				
#ABILITY:Special Ability|Spell-Like Abilities ~ Hezrou			
#ABILITY:Special Ability|Stench ~ Hezrou					
#ABILITY:Special Ability|Summon Demon ~ Hezrou				
#ABILITY:Special Ability|Skills ~ Hezrou					
#ABILITY:Special Ability|Natural Weapons ~ Marilith			
#ABILITY:Special Ability|Constrict ~ Marilith				
#ABILITY:Special Ability|Improved Grab ~ Marilith				
#ABILITY:Special Ability|Spell-Like Abilities ~ Marilith			
#ABILITY:Special Ability|Summon Demon ~ Marilith				
#ABILITY:Special Ability|True Seeing ~ Marilith				
#ABILITY:Special Ability|Skills ~ Marilith					
#ABILITY:Special Ability|Feats ~ Marilith					
#ABILITY:Special Ability|Natural Weapons ~ Nalfeshnee			
#ABILITY:Special Ability|Smite ~ Nalfeshnee					
#ABILITY:Special Ability|Spell-Like Abilities ~ Nalfeshnee		
#ABILITY:Special Ability|Summon Demon ~ Nalfeshnee				
#ABILITY:Special Ability|True Seeing ~ Nalfeshnee				
#ABILITY:Special Ability|Skills ~ Nalfeshnee					
#ABILITY:Special Ability|Natural Weapons ~ Quasit				
#ABILITY:Special Ability|Poison ~ Quasit					
#ABILITY:Special Ability|Spell-Like Abilities ~ Quasit			
#ABILITY:Special Ability|Alternate Form ~ Quasit				
#ABILITY:Special Ability|Eye Rays ~ Retriever				
#ABILITY:Special Ability|Find Target ~ Retriever				
#ABILITY:Special Ability|Improved Grab ~ Retriever				
#ABILITY:Special Ability|Natural Weapons ~ Succubus			
#ABILITY:Special Ability|Energy Drain ~ Succubus				
#ABILITY:Special Ability|Spell-Like Abilities ~ Succubus			
#ABILITY:Special Ability|Summon Demon ~ Succubus				
#ABILITY:Special Ability|Tongues ~ Succubus					
#ABILITY:Special Ability|Skills ~ Succubus					
#ABILITY:Special Ability|Natural Weapons ~ Vrock				
#ABILITY:Special Ability|Dance of Ruin ~ Vrock				
#ABILITY:Special Ability|Spell-Like Abilities ~ Vrock			
#ABILITY:Special Ability|Spores ~ Vrock					
#ABILITY:Special Ability|Stunning Screech ~ Vrock				
#ABILITY:Special Ability|Summon Demon ~ Vrock				
#ABILITY:Special Ability|Skills ~ Vrock					
#ABILITY:Special Ability|Madness ~ Derro					
#ABILITY:Special Ability|Poison Use ~ Derro					
#ABILITY:Special Ability|Sneak Attack ~ Derro				
#ABILITY:Special Ability|Spell-Like Abilities ~ Derro			
#ABILITY:Special Ability|Vulnerability to Sunlight ~ Derro		
#ABILITY:Special Ability|Skills ~ Derro					
#ABILITY:Special Ability|Destructive Harmonics ~ Destrachan		
#ABILITY:Special Ability|Blindsight ~ Destrachan				
#ABILITY:Special Ability|Immunities ~ Destrachan				
#ABILITY:Special Ability|Protection from Sonics ~ Destrachan		
#ABILITY:Special Ability|Skills ~ Destrachan					
#ABILITY:Special Ability|See in Darkness ~ Devil				
#ABILITY:Special Ability|Summon ~ Devil					
#ABILITY:Special Ability|Natural Weapons ~ Barbed Devil			
#ABILITY:Special Ability|Fear ~ Barbed Devil					
#ABILITY:Special Ability|Impale ~ Barbed Devil				
#ABILITY:Special Ability|Improved Grab ~ Barbed Devil			
#ABILITY:Special Ability|Summon Devil ~ Barbed Devil			
#ABILITY:Special Ability|Barbed Defense ~ Barbed Devil			
#ABILITY:Special Ability|Spell-Like Abilities ~ Barbed Devil		
#ABILITY:Special Ability|Natural Weapons ~ Bearded Devil			
#ABILITY:Special Ability|Spell-Like Abilities ~ Bearded Devil		
#ABILITY:Special Ability|Infernal Wound ~ Bearded Devil			
#ABILITY:Special Ability|Beard ~ Bearded Devil				
#ABILITY:Special Ability|Battle Frenzy ~ Bearded Devil			
#ABILITY:Special Ability|Summon Devil ~ Bearded Devil			
#ABILITY:Special Ability|Natural Weapons ~ Bone Devil			
#ABILITY:Special Ability|Fear Aura ~ Bone Devil				
#ABILITY:Special Ability|Poison ~ Bone Devil					
#ABILITY:Special Ability|Spell-Like Abilities ~ Bone Devil		
#ABILITY:Special Ability|Summon Devil ~ Bone Devil				
#ABILITY:Special Ability|Natural Weapons ~ Chain Devil			
#ABILITY:Special Ability|Dancing Chains ~ Chain Devil			
#ABILITY:Special Ability|Unnerving Gaze ~ Chain Devil			
#ABILITY:Special Ability|Regeneration ~ Chain Devil			
#ABILITY:Special Ability|Skills ~ Chain Devil				
#ABILITY:Special Ability|Natural Weapons ~ Erinyes				
#ABILITY:Special Ability|Entangle ~ Erinyes					
#ABILITY:Special Ability|Spell-Like Abilities ~ Erinyes			
#ABILITY:Special Ability|Summon Devil ~ Erinyes				
#ABILITY:Special Ability|True Seeing ~ Erinyes				
#ABILITY:Special Ability|Natural Weapons ~ Hellcat				
#ABILITY:Special Ability|Improved Grab ~ Hellcat				
#ABILITY:Special Ability|Pounce ~ Hellcat					
#ABILITY:Special Ability|Rake ~ Hellcat					
#ABILITY:Special Ability|Invisible in Light ~ Hellcat			
#ABILITY:Special Ability|Skills ~ Hellcat					
#ABILITY:Special Ability|Natural Weapons ~ Horned Devil			
#ABILITY:Special Ability|Spell-Like Abilities ~ Horned Devil		
#ABILITY:Special Ability|Fear Aura ~ Horned Devil				
#ABILITY:Special Ability|Stun ~ Horned Devil					
#ABILITY:Special Ability|Infernal Wound ~ Horned Devil			
#ABILITY:Special Ability|Summon Devil ~ Horned Devil			
#ABILITY:Special Ability|Regeneration ~ Horned Devil			
#ABILITY:Special Ability|Natural Weapons ~ Ice Devil			
#ABILITY:Special Ability|Fear Aura ~ Ice Devil				
#ABILITY:Special Ability|Slow ~ Ice Devil					
#ABILITY:Special Ability|Spell-Like Abilities ~ Ice Devil		
#ABILITY:Special Ability|Summon Devil ~ Ice Devil				
#ABILITY:Special Ability|Regeneration ~ Ice Devil				
#ABILITY:Special Ability|Natural Weapons ~ Imp				
#ABILITY:Special Ability|Poison ~ Imp						
#ABILITY:Special Ability|Spell-Like Abilities ~ Imp			
#ABILITY:Special Ability|Alternate Form ~ Imp				
#ABILITY:Special Ability|Natural Weapons ~ Lemure				
#ABILITY:Special Ability|Mindless ~ Lemure					
#ABILITY:Special Ability|Natural Weapons ~ Pit Fiend			
#ABILITY:Special Ability|Constrict ~ Pit Fiend				
#ABILITY:Special Ability|Disease ~ Pit Fiend					
#ABILITY:Special Ability|Fear Aura ~ Pit Fiend				
#ABILITY:Special Ability|Improved Grab ~ Pit Fiend				
#ABILITY:Special Ability|Poison ~ Pit Fiend					
#ABILITY:Special Ability|Spell-Like Abilities ~ Pit Fiend		
#ABILITY:Special Ability|Summon Devil ~ Pit Fiend				
#ABILITY:Special Ability|Regeneration ~ Pit Fiend				
#ABILITY:Special Ability|Energy Drain ~ Devourer				
#ABILITY:Special Ability|Trap Essence ~ Devourer				
#ABILITY:Special Ability|Spell-Like Abilities ~ Devourer			
#ABILITY:Special Ability|Spell Deflection ~ Devourer			
#ABILITY:Special Ability|Acid Spray ~ Digester				
#ABILITY:Special Ability|Skills ~ Digester					
#ABILITY:Special Ability|Pounce ~ Deinonychus				
#ABILITY:Special Ability|Skills ~ Deinonychus				
#ABILITY:Special Ability|Skills ~ Elasmosaurus				
#ABILITY:Special Ability|Pounce ~ Megaraptor					
#ABILITY:Special Ability|Skills ~ Megaraptor					
#ABILITY:Special Ability|Powerful Charge ~ Triceratops			
#ABILITY:Special Ability|Trample ~ Triceratops				
#ABILITY:Special Ability|Improved Grab ~ Tyrannosaurus			
#ABILITY:Special Ability|Swallow Whole ~ Tyrannosaurus			
#ABILITY:Special Ability|Skills ~ Tyrannosaurus				
#ABILITY:Special Ability|Rend ~ Dire Ape					
#ABILITY:Special Ability|Skills ~ Dire Ape					
#ABILITY:Special Ability|Rage ~ Dire Badger					
#ABILITY:Special Ability|Blindsense ~ Dire Bat				
#ABILITY:Special Ability|Skills ~ Dire Bat					
#ABILITY:Special Ability|Improved Grab ~ Dire Bear				
#ABILITY:Special Ability|Ferocity ~ Dire Boar				
#ABILITY:Special Ability|Improved Grab ~ Dire Lion				
#ABILITY:Special Ability|Pounce ~ Dire Lion					
#ABILITY:Special Ability|Rake ~ Dire Lion					
#ABILITY:Special Ability|Skills ~ Dire Lion					
#ABILITY:Special Ability|Disease ~ Dire Rat					
#ABILITY:Special Ability|Skills ~ Dire Rat					
#ABILITY:Special Ability|Improved Grab ~ Dire Shark			
#ABILITY:Special Ability|Swallow Whole ~ Dire Shark			
#ABILITY:Special Ability|Keen Scent ~ Dire Shark				
#ABILITY:Special Ability|Skills ~ Dire Shark					
#ABILITY:Special Ability|Improved Grab ~ Dire Tiger			
#ABILITY:Special Ability|Pounce ~ Dire Tiger					
#ABILITY:Special Ability|Rake ~ Dire Tiger					
#ABILITY:Special Ability|Skills ~ Dire Tiger					
#ABILITY:Special Ability|Attach ~ Dire Weasel				
#ABILITY:Special Ability|Blood Drain ~ Dire Weasel				
#ABILITY:Special Ability|Trip ~ Dire Wolf					
#ABILITY:Special Ability|Skills ~ Dire Wolf					
#ABILITY:Special Ability|Rage ~ Dire Wolverine				
#ABILITY:Special Ability|Skills ~ Dire Wolverine				
#ABILITY:Special Ability|Detect Thoughts ~ Doppelganger			
#ABILITY:Special Ability|Change Shape ~ Doppelganger			
#ABILITY:Special Ability|Skills ~ Doppelganger				
#ABILITY:Special Ability|Keen Senses ~ Dragon				
#ABILITY:Special Ability|Empower Spell-Like Ability ~ Epic Dragon	
#ABILITY:Special Ability|Maximize Spell-Like Ability ~ Epic Dragon	
#ABILITY:Special Ability|Greater Invisibility ~ Force Dragon		
#ABILITY:Special Ability|Breath Weapon ~ Dragon Turtle			
#ABILITY:Special Ability|Capsize ~ Dragon Turtle				
#ABILITY:Special Ability|Skills ~ Dragon Turtle				
#ABILITY:Special Ability|Pounce ~ Dragonne					
#ABILITY:Special Ability|Roar ~ Dragonne					
#ABILITY:Special Ability|Skills ~ Dragonne					
#ABILITY:Special Ability|Poison ~ Drider					
#ABILITY:Special Ability|Spell-Like Abilities ~ Drider			
#ABILITY:Special Ability|Spells ~ Drider					
#ABILITY:Special Ability|Skills ~ Drider					
#ABILITY:Special Ability|Spell-Like Abilities ~ Dryad			
#ABILITY:Special Ability|Tree Dependent ~ Dryad				
#ABILITY:Special Ability|Wild Empathy ~ Dryad				
#ABILITY:Special Ability|Light Sensitivity ~ Deep Dwarf			
#ABILITY:Special Ability|Light Sensitivity ~ Duergar			
#ABILITY:Special Ability|Spell-Like Abilities ~ Duergar			
#ABILITY:Special Ability|Dwarf Immunity ~ Duergar				
#ABILITY:Special Ability|Evasion ~ Giant Eagle				
#ABILITY:Special Ability|Skills ~ Giant Eagle				
#ABILITY:Special Ability|Air Mastery ~ Air Elemental			
#ABILITY:Special Ability|Whirlwind ~ Air Elemental				
#ABILITY:Special Ability|Earth Mastery ~ Earth Elemental			
#ABILITY:Special Ability|Push ~ Earth Elemental				
#ABILITY:Special Ability|Earth Glide ~ Earth Elemental			
#ABILITY:Special Ability|Burn ~ Fire Elemental				
#ABILITY:Special Ability|Water Mastery ~ Water Elemental			
#ABILITY:Special Ability|Drench ~ Water Elemental				
#ABILITY:Special Ability|Vortex ~ Water Elemental				
#ABILITY:Special Ability|Skills ~ Water Elemental				
#ABILITY:Special Ability|Superior Low-Light Vision ~ Aquatic Elf	
#ABILITY:Special Ability|Gills ~ Aquatic Elf					
#ABILITY:Special Ability|Poison ~ Drow						
#ABILITY:Special Ability|Spell-Like Abilities ~ Drow			
#ABILITY:Special Ability|Light Blindness ~ Drow				
#ABILITY:Special Ability|Weapon Proficiency ~ Drow				
#ABILITY:Special Ability|Racial Save Bonus ~ Drow				
#ABILITY:Special Ability|Detect Magic ~ Ethereal Filcher			
#ABILITY:Special Ability|Ethereal Jaunt ~ Ethereal Filcher		
#ABILITY:Special Ability|Skills ~ Ethereal Filcher				
#ABILITY:Special Ability|Ethereal Jaunt ~ Ethereal Marauder		
#ABILITY:Special Ability|Skills ~ Ethereal Marauder			
#ABILITY:Special Ability|Poison ~ Ettercap					
#ABILITY:Special Ability|Web ~ Ettercap					
#ABILITY:Special Ability|Skills ~ Ettercap					
#ABILITY:Special Ability|Superior Two-Weapon Fighting ~ Ettin		
#ABILITY:Special Ability|Skills ~ Ettin					
#ABILITY:Special Ability|Hive Mind ~ Formian Shared			
#ABILITY:Special Ability|Natural Weapons ~ Formian Worker		
#ABILITY:Special Ability|Cure Serious Wounds ~ Formian Worker		
#ABILITY:Special Ability|Make Whole ~ Formian Worker			
#ABILITY:Special Ability|Natural Weapons ~ Formian Warrior		
#ABILITY:Special Ability|Poison ~ Formian Warrior				
#ABILITY:Special Ability|Natural Weapons ~ Formian Taskmaster		
#ABILITY:Special Ability|Dominate Monster ~ Formian Taskmaster		
#ABILITY:Special Ability|Dominated Creature ~ Formian Taskmaster	
#ABILITY:Special Ability|Poison ~ Formian Taskmaster			
#ABILITY:Special Ability|Natural Weapons ~ Formian Myrmarch		
#ABILITY:Special Ability|Poison ~ Formian Myrmarch				
#ABILITY:Special Ability|Spell-Like Abilities ~ Formian Myrmarch	
#ABILITY:Special Ability|Spells ~ Formian Queen				
#ABILITY:Special Ability|Spell-Like Abilities ~ Formian Queen		
#ABILITY:Special Ability|Telepathy ~ Formian Queen				
#ABILITY:Special Ability|Trill ~ Frost Worm					
#ABILITY:Special Ability|Cold ~ Frost Worm					
#ABILITY:Special Ability|Breath Weapon ~ Frost Worm			
#ABILITY:Special Ability|Death Throes ~ Frost Worm				
#ABILITY:Special Ability|Skills ~ Frost Worm					
#ABILITY:Special Ability|Shriek ~ Shrieker					
#ABILITY:Special Ability|Poison ~ Violet Fungus				
#ABILITY:Special Ability|Natural Weapons ~ Gargoyle				
#ABILITY:Special Ability|Freeze ~ Gargoyle						
#ABILITY:Special Ability|Skills ~ Gargoyle						
#ABILITY:Special Ability|Plane Shift ~ Genie Shared				
#ABILITY:Special Ability|Air Mastery ~ Djinni					
#ABILITY:Special Ability|Spell-Like Abilities ~ Djinni				
#ABILITY:Special Ability|Whirlwind ~ Djinni						
#ABILITY:Special Ability|Change Size ~ Efreeti					
#ABILITY:Special Ability|Heat ~ Efreeti						
#ABILITY:Special Ability|Spell-Like Abilities ~ Efreeti				
#ABILITY:Special Ability|Change Size ~ Janni						
#ABILITY:Special Ability|Spell-Like Abilities ~ Janni				
#ABILITY:Special Ability|Elemental Endurance ~ Janni				
#ABILITY:Special Ability|Natural Weapons ~ Ghaele					
#ABILITY:Special Ability|Spell-Like Abilities ~ Ghaele				
#ABILITY:Special Ability|Spells ~ Ghaele						
#ABILITY:Special Ability|Gaze ~ Ghaele							
#ABILITY:Special Ability|Light Ray ~ Ghaele						
#ABILITY:Special Ability|Alternate Form ~ Ghaele					
#ABILITY:Special Ability|Protective Aura ~ Ghaele					
#ABILITY:Special Ability|Tongues ~ Ghaele						
#ABILITY:Special Ability|Corrupting Gaze ~ Ghost Template			
#ABILITY:Special Ability|Corrupting Touch ~ Ghost Template			
#ABILITY:Special Ability|Draining Touch ~ Ghost Template				
#ABILITY:Special Ability|Frightful Moan ~ Ghost Template				
#ABILITY:Special Ability|Horrific Appearance ~ Ghost Template			
#ABILITY:Special Ability|Malevolence ~ Ghost Template				
#ABILITY:Special Ability|Manifestation ~ Ghost Template				
#ABILITY:Special Ability|Telekinesis ~ Ghost Template				
#ABILITY:Special Ability|Special Qualities ~ Ghost Template			
#ABILITY:Special Ability|Rejuvenation ~ Ghost Template				
#ABILITY:Special Ability|Turn Resistance ~ Ghost Template			
#ABILITY:Special Ability|Ghoul Fever ~ Ghoul						
#ABILITY:Special Ability|Paralysis ~ Ghoul						
#ABILITY:Special Ability|Ghoul Fever ~ Ghast						
#ABILITY:Special Ability|Paralysis ~ Ghast						
#ABILITY:Special Ability|Stench ~ Ghast						
#ABILITY:Special Ability|Rock Throwing ~ Giant Shared				
#ABILITY:Special Ability|Rock Catching ~ Giant Shared				
#ABILITY:Special Ability|Rock Throwing ~ Cloud Giant				
#ABILITY:Special Ability|Oversized Weapon ~ Cloud Giant				
#ABILITY:Special Ability|Spell-Like Abilities ~ Cloud Giant			
#ABILITY:Special Ability|Rock Throwing ~ Fire Giant				
#ABILITY:Special Ability|Rock Throwing ~ Frost Giant				
#ABILITY:Special Ability|Rock Throwing ~ Hill Giant				
#ABILITY:Special Ability|Rock Throwing ~ Stone Giant				
#ABILITY:Special Ability|Rock Catching ~ Stone Giant				
#ABILITY:Special Ability|Skills ~ Stone Giant					
#ABILITY:Special Ability|Spell-Like Abilities ~ Storm Giant			
#ABILITY:Special Ability|Freedom of Movement ~ Storm Giant			
#ABILITY:Special Ability|Water Breathing ~ Storm Giant				
#ABILITY:Special Ability|Skills ~ Storm Giant					
#ABILITY:Special Ability|Gibbering ~ Gibbering Mouther				
#ABILITY:Special Ability|Spittle ~ Gibbering Mouther				
#ABILITY:Special Ability|Improved Grab ~ Gibbering Mouther			
#ABILITY:Special Ability|Blood Drain ~ Gibbering Mouther				
#ABILITY:Special Ability|Engulf ~ Gibbering Mouther				
#ABILITY:Special Ability|Ground Manipulation ~ Gibbering Mouther		
#ABILITY:Special Ability|Amorphous ~ Gibbering Mouther				
#ABILITY:Special Ability|Skills ~ Gibbering Mouther				
#ABILITY:Special Ability|Rend ~ Girallon						
#ABILITY:Special Ability|Skills ~ Girallon						
#ABILITY:Special Ability|Skills ~ Goblin						
#ABILITY:Special Ability|Immunity to Magic ~ Golem Shared			
#ABILITY:Special Ability|Berserk ~ Clay Golem					
#ABILITY:Special Ability|Cursed Wound ~ Clay Golem					
#ABILITY:Special Ability|Immunity to Magic ~ Clay Golem				
#ABILITY:Special Ability|Haste ~ Clay Golem						
#ABILITY:Special Ability|Berserk ~ Flesh Golem					
#ABILITY:Special Ability|Immunity to Magic ~ Flesh Golem				
#ABILITY:Special Ability|Breath Weapon ~ Iron Golem				
#ABILITY:Special Ability|Immunity to Magic ~ Iron Golem				
#ABILITY:Special Ability|Slow ~ Stone Golem						
#ABILITY:Special Ability|Immunity to Magic ~ Stone Golem				
#ABILITY:Special Ability|Breath Weapon ~ Gorgon					
#ABILITY:Special Ability|Trample ~ Gorgon						
#ABILITY:Special Ability|Improved Grab ~ Gray Render				
#ABILITY:Special Ability|Rend ~ Gray Render						
#ABILITY:Special Ability|Skills ~ Gray Render					
#ABILITY:Special Ability|Skills ~ Grick						
#ABILITY:Special Ability|Pounce ~ Griffon						
#ABILITY:Special Ability|Rake ~ Griffon						
#ABILITY:Special Ability|Skills ~ Griffon						
#ABILITY:Special Ability|Blindsight ~ Grimlock					
#ABILITY:Special Ability|Immunities ~ Grimlock					
#ABILITY:Special Ability|Skills ~ Grimlock						
#ABILITY:Special Ability|Improved Grab ~ Hag Annis					
#ABILITY:Special Ability|Rake ~ Hag Annis						
#ABILITY:Special Ability|Rend ~ Hag Annis						
#ABILITY:Special Ability|Spell-Like Abilities ~ Hag Annis			
#ABILITY:Special Ability|Spell-Like Abilities ~ Green Hag			
#ABILITY:Special Ability|Weakness ~ Green Hag					
#ABILITY:Special Ability|Mimicry ~ Green Hag						
#ABILITY:Special Ability|Skills ~ Green Hag						
#ABILITY:Special Ability|Horrific Appearance ~ Sea Hag				
#ABILITY:Special Ability|Evil Eye ~ Sea Hag						
#ABILITY:Special Ability|Amphibious ~ Sea Hag					
#ABILITY:Special Ability|Skills ~ Sea Hag						
#ABILITY:Special Ability|Captivating Song ~ Harpy					
#ABILITY:Special Ability|Skills ~ Harpy						
#ABILITY:Special Ability|Breath Weapon ~ Hell Hound				
#ABILITY:Special Ability|Fiery Bite ~ Hell Hound					
#ABILITY:Special Ability|Skills ~ Hell Hound						
#ABILITY:Special Ability|Breath Weapon ~ Nessian Warhound			
#ABILITY:Special Ability|Fiery Bite ~ Nessian Warhound				
#ABILITY:Special Ability|Skills ~ Hippogriff						
#ABILITY:Special Ability|Skills ~ Hobgoblin						
#ABILITY:Special Ability|Poison ~ Homunculus						
#ABILITY:Special Ability|Natural Weapons ~ Howler					
#ABILITY:Special Ability|Quills ~ Howler						
#ABILITY:Special Ability|Howl ~ Howler							
#ABILITY:Special Ability|Fast Healing ~ Hydra					
#ABILITY:Special Ability|Skills ~ Hydra						
#ABILITY:Special Ability|Feats ~ Hydra							
#ABILITY:Special Ability|Natural Weapons ~ Inevitable				
#ABILITY:Special Ability|Fast Healing ~ Inevitable					
#ABILITY:Special Ability|Natural Weapons ~ Kolyarut				
#ABILITY:Special Ability|Enervation Ray ~ Kolyarut					
#ABILITY:Special Ability|Spell-Like Abilities ~ Kolyarut				
#ABILITY:Special Ability|Vampiric Touch ~ Kolyarut					
#ABILITY:Special Ability|Skills ~ Kolyarut						
#ABILITY:Special Ability|Natural Weapons ~ Marut					
#ABILITY:Special Ability|Fists of Thunder and Lightning ~ Marut		
#ABILITY:Special Ability|Spell-Like Abilities ~ Marut				
#ABILITY:Special Ability|Skills ~ Marut						
#ABILITY:Special Ability|Natural Weapons ~ Zelekhut				
#ABILITY:Special Ability|Spell-Like Abilities ~ Zelekhut				
#ABILITY:Special Ability|Skills ~ Zelekhut						
#ABILITY:Special Ability|Feats ~ Zelekhut						
#ABILITY:Special Ability|Natural Invisibility ~ Invisible Stalker		
#ABILITY:Special Ability|Improved Tracking ~ Invisible Stalker			
#ABILITY:Special Ability|Light Sensitivity ~ Kobold				
#ABILITY:Special Ability|Skills ~ Kobold						
#ABILITY:Special Ability|Improved Grab ~ Kraken					
#ABILITY:Special Ability|Constrict ~ Kraken						
#ABILITY:Special Ability|Jet ~ Kraken							
#ABILITY:Special Ability|Ink Cloud ~ Kraken						
#ABILITY:Special Ability|Spell-Like Abilities ~ Kraken				
#ABILITY:Special Ability|Skills ~ Kraken						
#ABILITY:Special Ability|Scare ~ Krenshar						
#ABILITY:Special Ability|Skills ~ Krenshar						
#ABILITY:Special Ability|Spell-Like Abilities ~ Lamia				
#ABILITY:Special Ability|Wisdom Drain ~ Lamia					
#ABILITY:Special Ability|Skills ~ Lamia						
#ABILITY:Special Ability|Spells ~ Lammasu						
#ABILITY:Special Ability|Magic Circle against Evil ~ Lammasu			
#ABILITY:Special Ability|Spell-Like Abilities ~ Lammasu				
#ABILITY:Special Ability|Pounce ~ Lammasu						
#ABILITY:Special Ability|Rake ~ Lammasu						
#ABILITY:Special Ability|Skills ~ Lammasu						
#ABILITY:Special Ability|Natural Weapons ~ Leonal					
#ABILITY:Special Ability|Roar ~ Leonal							
#ABILITY:Special Ability|Pounce ~ Leonal						
#ABILITY:Special Ability|Improved Grab ~ Leonal					
#ABILITY:Special Ability|Rake ~ Leonal							
#ABILITY:Special Ability|Spell-Like Abilities ~ Leonal				
#ABILITY:Special Ability|Lay on Hands ~ Leonal					
#ABILITY:Special Ability|Protective Aura ~ Leonal					
#ABILITY:Special Ability|Speak with Animals ~ Leonal				
#ABILITY:Special Ability|Skills ~ Leonal						
#ABILITY:Special Ability|Special Attacks ~ LICH TEMPLATE				
#ABILITY:Special Ability|Fear Aura ~ LICH TEMPLATE					
#ABILITY:Special Ability|Paralyzing Touch ~ LICH TEMPLATE			
#ABILITY:Special Ability|Spells ~ LICH TEMPLATE					
#ABILITY:Special Ability|Special Qualities ~ LICH TEMPLATE			
#ABILITY:Special Ability|Turn Resistance ~ LICH TEMPLATE				
#ABILITY:Special Ability|Damage Reduction ~ LICH TEMPLATE			
#ABILITY:Special Ability|Immunities ~ LICH TEMPLATE				
#ABILITY:Special Ability|Abilities ~ LICH TEMPLATE					
#ABILITY:Special Ability|Skills ~ LICH TEMPLATE					
#ABILITY:Special Ability|Natural Weapons ~ Lillend					
#ABILITY:Special Ability|Constrict ~ Lillend						
#ABILITY:Special Ability|Improved Grab ~ Lillend					
#ABILITY:Special Ability|Spells ~ Lillend						
#ABILITY:Special Ability|Spell-Like Abilities ~ Lillend				
#ABILITY:Special Ability|Skills ~ Lillend						
#ABILITY:Special Ability|Bardic Music ~ Lillend					
#ABILITY:Special Ability|Hold Breath ~ Lizardfolk					
#ABILITY:Special Ability|Skills ~ Lizardfolk						
#ABILITY:Special Ability|Skills ~ Locathah						
#ABILITY:Special Ability|Natural Weapons ~ Magmin					
#ABILITY:Special Ability|Combustion ~ Magmin						
#ABILITY:Special Ability|Fiery Aura ~ Magmin						
#ABILITY:Special Ability|Melt Weapons ~ Magmin					
#ABILITY:Special Ability|Spikes ~ Manticore						
#ABILITY:Special Ability|Skills ~ Manticore						
#ABILITY:Special Ability|Petrifying Gaze ~ Medusa					
#ABILITY:Special Ability|Poison ~ Medusa						
#ABILITY:Special Ability|Natural Weapons ~ Mephit					
#ABILITY:Special Ability|Breath Weapon ~ Mephit					
#ABILITY:Special Ability|Spell-Like Abilities ~ Mephit				
#ABILITY:Special Ability|Summon Mephit ~ Mephit					
#ABILITY:Special Ability|Fast Healing ~ Mephit					
#ABILITY:Special Ability|Breath Weapon ~ Air Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Air Mephit			
#ABILITY:Special Ability|Fast Healing ~ Air Mephit					
#ABILITY:Special Ability|Breath Weapon ~ Dust Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Dust Mephit			
#ABILITY:Special Ability|Fast Healing ~ Dust Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Earth Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Earth Mephit			
#ABILITY:Special Ability|Change Size ~ Earth Mephit				
#ABILITY:Special Ability|Fast Healing ~ Earth Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Fire Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Fire Mephit			
#ABILITY:Special Ability|Fast Healing ~ Fire Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Ice Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Ice Mephit			
#ABILITY:Special Ability|Fast Healing ~ Ice Mephit					
#ABILITY:Special Ability|Breath Weapon ~ Magma Mephit				
#ABILITY:Special Ability|Spell-Like Abilities ~ Magma Mephit			
#ABILITY:Special Ability|Fast Healing ~ Magma Mephit				
#ABILITY:Special Ability|Breath Weapon ~ Ooze Mephit				
