# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:d20 Weapons Locker	SOURCESHORT:d20WL	SOURCEWEB:http://www.wizards.com/d20modern	SOURCEDATE:2004-01
# Original Entry by: Terrence FitzSimons * 14 May 2006

# WEAPONCATEGORY:Simple
# WEAPONCATEGORY:PersonalFirearm
# WEAPONCATEGORY:Archaic
# WEAPONCATEGORY:Exotic
# WEAPONCATEGORY:ExoticFirearms
# WEAPONCATEGORY:Natural
# WEAPONCATEGORY:HMG
# WEAPONCATEGORY:RocketLauncher
# WEAPONCATEGORY:GrenadeLauncher
# WEAPONCATEGORY:Mecha
# WEAPONCATEGORY:Starship

# Exotic Firearms
# Weapon Name					Type				Nb Hands
Norinco Model 85 Bayonet Pistol		TYPE:ExoticFirearms
FAMAE Mini-SAF					TYPE:PersonalFirearm
FN P90						TYPE:PersonalFirearm
FN P90A						TYPE:PersonalFirearm
HK MP7 PDW						TYPE:PersonalFirearm
IMI Micro-Uzi					TYPE:PersonalFirearm
IMI Micro-Uzi Pistol				TYPE:PersonalFirearm
Ingram MAC 10					TYPE:PersonalFirearm
Ingram MAC 11					TYPE:PersonalFirearm
Intratec TEC-9					TYPE:PersonalFirearm
Intratec TEC-9 SemiAuto Pistol		TYPE:PersonalFirearm
Intratec TEC-9 FullAuto Pistol		TYPE:PersonalFirearm
MGP-84						TYPE:PersonalFirearm
MGP-14 Assault Pistol				TYPE:PersonalFirearm
MGV-176						TYPE:PersonalFirearm
OTs-22						TYPE:PersonalFirearm
Parker-Hale IDW					TYPE:PersonalFirearm
PP-93							TYPE:PersonalFirearm
Skorpion vz61					TYPE:PersonalFirearm
Skorpion vz64					TYPE:PersonalFirearm
Skorpion vz65					TYPE:PersonalFirearm
Skorpion vz68					TYPE:PersonalFirearm
Steyr TMP						TYPE:PersonalFirearm

# Submachine Guns w/Grenade Launchers attached	Type			Nb Hands
A-9 w/GP-95 GL					TYPE:PersonalFirearm	HANDS:2
A-7.62 w/GP-95 GL					TYPE:PersonalFirearm	HANDS:2
HK MP5A2 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A2 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A3 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A3 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A4 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A4 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A5 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5A5 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5 Navy w/ISTEC ISL 201 GL		TYPE:PersonalFirearm	HANDS:2
HK MP5 Navy w/ISTEC ISL 202 GL		TYPE:PersonalFirearm	HANDS:2
HK MP5 R15 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5 R15 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D1 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D1 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D2 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D2 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D3 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D3 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D4 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D4 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D5 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D5 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D6 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP55D6 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5/10 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5/10 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5/40 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK MP5/40 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2
HK UMP 45 w/ISTEC ISL 201 GL			TYPE:PersonalFirearm	HANDS:2
HK UMP 45 w/ISTEC ISL 202 GL			TYPE:PersonalFirearm	HANDS:2

# Pump-Action ShotGuns				Type				Nb Hands
Armscor M30						TYPE:PersonalFirearm	HANDS:2
Birmingham Pump Gun				TYPE:PersonalFirearm	HANDS:2
Benelli M2 Super 90				TYPE:PersonalFirearm	HANDS:2
Benelli M1 Tactical				TYPE:PersonalFirearm	HANDS:2
Benelli Nova					TYPE:PersonalFirearm	HANDS:2
Beretta RS200P					TYPE:PersonalFirearm	HANDS:2
Beretta RS202					TYPE:PersonalFirearm	HANDS:2
Browning BPS-SP					TYPE:PersonalFirearm	HANDS:2
Fabarm SDASS					TYPE:PersonalFirearm	HANDS:2
Fabarm FP6						TYPE:PersonalFirearm	HANDS:2
Franchi PA3						TYPE:PersonalFirearm	HANDS:2
Franchi PA8E					TYPE:PersonalFirearm	HANDS:2
Franchi PA8I					TYPE:PersonalFirearm	HANDS:2
Franchi PA7						TYPE:PersonalFirearm	HANDS:2
Ithaca MAG-10 Roadblocker			TYPE:PersonalFirearm	HANDS:2
Ithaca Model 37					TYPE:PersonalFirearm	HANDS:2
Ithaca Stakeout					TYPE:PersonalFirearm	HANDS:2
Izhmash IZH-81M					TYPE:PersonalFirearm	HANDS:2
Izhmash MP-131K					TYPE:PersonalFirearm	HANDS:2
Knights Armaments Master Key S		TYPE:PersonalFirearm	HANDS:2
Ciener Ultimate					TYPE:PersonalFirearm	HANDS:2
KS-23							TYPE:PersonalFirearm	HANDS:2
Mossberg Line Gun					TYPE:PersonalFirearm	HANDS:2
Mossberg M9200					TYPE:PersonalFirearm	HANDS:2
Mossberg Model 500				TYPE:PersonalFirearm	HANDS:2
Mossberg Model 590				TYPE:PersonalFirearm	HANDS:2
Neostead						TYPE:PersonalFirearm	HANDS:2
Norinco M98						TYPE:PersonalFirearm	HANDS:2
Poseidon Micro					TYPE:PersonalFirearm	HANDS:2
Remington Model 870				TYPE:PersonalFirearm	HANDS:2
Remington Model M870				TYPE:PersonalFirearm	HANDS:2
Remington Model M870P				TYPE:PersonalFirearm	HANDS:2
RM-92							TYPE:PersonalFirearm	HANDS:2
RM-93							TYPE:PersonalFirearm	HANDS:2
RM-94							TYPE:PersonalFirearm	HANDS:2
RM-96							TYPE:PersonalFirearm	HANDS:2
SAC Alsetex RO5					TYPE:PersonalFirearm	HANDS:2
SAC Alsetex PM5					TYPE:PersonalFirearm	HANDS:2
Scattergun Technologies Custom		TYPE:PersonalFirearm	HANDS:2
S and W Model 3000				TYPE:PersonalFirearm	HANDS:2
Techno Arms MAG-7					TYPE:PersonalFirearm	HANDS:2
Viking Arms SOS					TYPE:PersonalFirearm	HANDS:2

# Semi/automatic ShotGuns			Type				Nb Hands
Benelli M1						TYPE:PersonalFirearm	HANDS:2
Benelli M1 Entry					TYPE:PersonalFirearm	HANDS:2
Benelli M3 Special Applications		TYPE:PersonalFirearm	HANDS:2
Daewoo USAS-12					TYPE:PersonalFirearm	HANDS:2
Fabarm Tactical					TYPE:PersonalFirearm	HANDS:2
HK512							TYPE:PersonalFirearm	HANDS:2
Mark Three Jackhammer				TYPE:PersonalFirearm	HANDS:2
Norinco M2000					TYPE:PersonalFirearm	HANDS:2
Omega SPS-12					TYPE:PersonalFirearm	HANDS:2
Remington Model 11-48				TYPE:PersonalFirearm	HANDS:2
Remington Model 11-87				TYPE:PersonalFirearm	HANDS:2
Remington Model 1100				TYPE:PersonalFirearm	HANDS:2
Saiga-12						TYPE:PersonalFirearm	HANDS:2
Saiga-20						TYPE:PersonalFirearm	HANDS:2

# Dual-Action ShotGuns				Type				Nb Hands
Benelli M3 Super 90				TYPE:PersonalFirearm	HANDS:2
Benelli M4 Super 90				TYPE:PersonalFirearm	HANDS:2
Benelli M1014					TYPE:PersonalFirearm	HANDS:2
Benelli M4 Super Black Eagle			TYPE:PersonalFirearm	HANDS:2
Franchi SPAS 12					TYPE:PersonalFirearm	HANDS:2
Franchi SPAS 15					TYPE:PersonalFirearm	HANDS:2
Franchi SPAS 15 MIL				TYPE:PersonalFirearm	HANDS:2
Reutech Protecta					TYPE:PersonalFirearm	HANDS:2
Reutech Protecta Bulldog			TYPE:PersonalFirearm	HANDS:2

# Light Machine Guns				Type				Nb Hands
Ameli							TYPE:PersonalFirearm	HANDS:2
Beretta AS70/90					TYPE:PersonalFirearm	HANDS:2
Colt M16A2						TYPE:PersonalFirearm	HANDS:2
Lada							TYPE:PersonalFirearm	HANDS:2
FN Minimi						TYPE:PersonalFirearm	HANDS:2
HK MG36						TYPE:PersonalFirearm	HANDS:2
HK MG43						TYPE:PersonalFirearm	HANDS:2
HK 13							TYPE:PersonalFirearm	HANDS:2
HK 23							TYPE:PersonalFirearm	HANDS:2
HK 23E						TYPE:PersonalFirearm	HANDS:2
IMI Negev						TYPE:PersonalFirearm	HANDS:2
Insas							TYPE:PersonalFirearm	HANDS:2
L4A4 Bren						TYPE:PersonalFirearm	HANDS:2
L86A1 LSW						TYPE:PersonalFirearm	HANDS:2
M249							TYPE:PersonalFirearm	HANDS:2
Norinco Type 67					TYPE:PersonalFirearm	HANDS:2
Norinco Type 74					TYPE:PersonalFirearm	HANDS:2
Norinco Type 95					TYPE:PersonalFirearm	HANDS:2
RPD							TYPE:PersonalFirearm	HANDS:2
RPK							TYPE:PersonalFirearm	HANDS:2
RPK-74						TYPE:PersonalFirearm	HANDS:2
SAR-21						TYPE:PersonalFirearm	HANDS:2
Steyr AUG HBAR					TYPE:PersonalFirearm	HANDS:2
Stoner						TYPE:PersonalFirearm	HANDS:2
Ultimax M100					TYPE:PersonalFirearm	HANDS:2

# General Purpose Machine Guns		Type				Nb Hands
6P41 Pecheneg					TYPE:PersonalFirearm	HANDS:2
AAT-52						TYPE:PersonalFirearm	HANDS:2
FN MAG						TYPE:PersonalFirearm	HANDS:2
L7							TYPE:PersonalFirearm	HANDS:2
HK MG3						TYPE:PersonalFirearm	HANDS:2
HK 11							TYPE:PersonalFirearm	HANDS:2
HK 21							TYPE:PersonalFirearm	HANDS:2
L7A2							TYPE:PersonalFirearm	HANDS:2
M51							TYPE:PersonalFirearm	HANDS:2
M60							TYPE:PersonalFirearm	HANDS:2
M240							TYPE:PersonalFirearm	HANDS:2
Model 59 Rachot					TYPE:PersonalFirearm	HANDS:2
Model 68 Rachot					TYPE:PersonalFirearm	HANDS:2
PK							TYPE:PersonalFirearm	HANDS:2
PKS							TYPE:PersonalFirearm	HANDS:2
PKM							TYPE:PersonalFirearm	HANDS:2
PKMS							TYPE:PersonalFirearm	HANDS:2
SS-77							TYPE:PersonalFirearm	HANDS:2
Ulrapuru						TYPE:PersonalFirearm	HANDS:2

# Heavy Machine Guns				Type				Nb Hands
Browning M2HB					TYPE:ExoticFirearms	HANDS:2
Fabrrique National M2HB				TYPE:ExoticFirearms	HANDS:2
CIS Fifty						TYPE:ExoticFirearms	HANDS:2
DShK-38/46						TYPE:ExoticFirearms	HANDS:2
KPV							TYPE:ExoticFirearms	HANDS:2
Norinco Type QJZ89				TYPE:ExoticFirearms	HANDS:2
NSV Utyos						TYPE:ExoticFirearms	HANDS:2

# Miniguns						Type				Nb Hands
General Electric M134				TYPE:ExoticFirearms	HANDS:2
XM214 Microgun					TYPE:ExoticFirearms	HANDS:2

# Stand Alone Grenade Launchers		Type				Nb Hands
6G-30 GL						TYPE:GrenadeLauncher	HANDS:2
BS-1 Silent GL					TYPE:GrenadeLauncher	HANDS:2
CIS 40GL						TYPE:GrenadeLauncher	HANDS:2
Colt Launcher System GL				TYPE:GrenadeLauncher	HANDS:2
Colt M79 GL						TYPE:GrenadeLauncher	HANDS:2
Colt M203 GL					TYPE:GrenadeLauncher	HANDS:2
F2000 GL						TYPE:GrenadeLauncher	HANDS:2
GM-94 GL						TYPE:GrenadeLauncher	HANDS:2
GP-25 GL						TYPE:GrenadeLauncher	HANDS:2
GP-30 GL						TYPE:GrenadeLauncher	HANDS:2
GP-95 GL						TYPE:GrenadeLauncher	HANDS:2
GP-97 GL						TYPE:GrenadeLauncher	HANDS:2
HK AG36 GL						TYPE:GrenadeLauncher	HANDS:2
HK69A1 GL						TYPE:GrenadeLauncher	HANDS:2
HK79 GL						TYPE:GrenadeLauncher	HANDS:2
HK SA-80 GL						TYPE:GrenadeLauncher	HANDS:2
HAFLA DM 34 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 200 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 201 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 202 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 203 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 204 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 274 GL					TYPE:GrenadeLauncher	HANDS:2
ISTEC ISL 275 GL					TYPE:GrenadeLauncher	HANDS:2
Maadi GL						TYPE:GrenadeLauncher	HANDS:2
Milkor MGL Mark I GL				TYPE:GrenadeLauncher	HANDS:2
Milkor UBGL						TYPE:GrenadeLauncher	HANDS:2
OICW GL						TYPE:GrenadeLauncher	HANDS:2
Pallad GL						TYPE:GrenadeLauncher	HANDS:2
Pallad-D GL						TYPE:GrenadeLauncher	HANDS:2
SUW GL						TYPE:GrenadeLauncher	HANDS:2
Romarm AG-40 M80 GL				TYPE:GrenadeLauncher	HANDS:2
RGB-1 GL						TYPE:GrenadeLauncher	HANDS:2
SIG GL5040 GL					TYPE:GrenadeLauncher	HANDS:2
SIG GL5140 GL					TYPE:GrenadeLauncher	HANDS:2
