# CVS $Revision$ $Author$ -- Wed Jan 28 22:41:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original Entry by: Stefan Radermacher

###Block: Barbarian abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Elemental Blast (Earth).MOD		DESC:.CLEAR		DESC:You can unleash a blast of elemental power %1/day. This burst deals %2d6 points of acid damage. Those caught in the area receive a Reflex save for half damage (DC %3). Creatures that fail their save gain Acid Vulnerability for 1 rounds. This power has a range of 60 feet.|ElementalBlastTimes|ElementalBlastDice|ElementalBlastDC
CATEGORY=Special Ability|Elemental Blast (Fire).MOD		DESC:.CLEAR		DESC:You can unleash a blast of elemental power %1/day. This burst deals %2d6 points of fire damage. Those caught in the area receive a Reflex save for half damage (DC %3). Creatures that fail their save gain Fire Vulnerability for 1 rounds. This power has a range of 60 feet.|ElementalBlastTimes|ElementalBlastDice|ElementalBlastDC
CATEGORY=Special Ability|Elemental Blast (Water).MOD		DESC:.CLEAR		DESC:You can unleash a blast of elemental power %1/day. This burst deals %2d6 points of cold damage. Those caught in the area receive a Reflex save for half damage (DC %3). Creatures that fail their save gain Cold Vulnerability for 1 rounds. This power has a range of 60 feet.|ElementalBlastTimes|ElementalBlastDice|ElementalBlastDC
CATEGORY=Special Ability|Elemental Movement (Air).MOD		DESC:.CLEAR		DESC:You gain a fly speed of 60 ft. with average maneuverability.
CATEGORY=Special Ability|Elemental Movement (Earth).MOD	DESC:.CLEAR		DESC:You gain a burrow speed of 30 ft.
CATEGORY=Special Ability|Elemental Movement (Fire).MOD	DESC:.CLEAR		DESC:Your base speed increases by 30 ft.
CATEGORY=Special Ability|Elemental Movement (Water).MOD	DESC:.CLEAR		DESC:You gain a swim speed of 60 ft.
CATEGORY=Special Ability|Elemental Body (Air).MOD		DESC:.CLEAR		DESC:Elemental power surges through your body. You gain immunity to sneak attacks, critical hits, and electricity damage.
CATEGORY=Special Ability|Elemental Body (Earth).MOD		DESC:.CLEAR		DESC:Elemental power surges through your body. You gain immunity to sneak attacks, critical hits, and acid damage.
CATEGORY=Special Ability|Elemental Body (Fire).MOD		DESC:.CLEAR		DESC:Elemental power surges through your body. You gain immunity to sneak attacks, critical hits, and fire damage.
CATEGORY=Special Ability|Elemental Body (Water).MOD		DESC:.CLEAR		DESC:Elemental power surges through your body. You gain immunity to sneak attacks, critical hits, and cold damage.

###Block: Wizard Abilities
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Arcane Bond.MOD		DESC:.CLEAR		DESC:You forge a powerful band with an object or creature.
CATEGORY=Special Ability|Cantrips ~ Wizard.MOD	DESC:.CLEAR		DESC:Wizards can prepare a number of cantrips, or 0-level spells, each day. They can cast these spells at will as a spell-like ability.

###Block: Wizard Arcane Schools
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Abjuration School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in abjuration spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare spells of this school.
CATEGORY=Special Ability|Conjuration School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in conjuration spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Divination School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in divination spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Enchantment School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in enchantment spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Evocation School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in evocation spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Illusion School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in illusion spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Necromancy School.MOD		DESC:.CLEAR		DESC:You have chosen to specialize in necromancy spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Transmutation School.MOD	DESC:.CLEAR		DESC:You have chosen to specialize in transmutation spells. You gain a +2 bonus to Spellcraft checks to identify, learn, and prepare  spells of this school.
CATEGORY=Special Ability|Universal School.MOD		DESC:.CLEAR		DESC:You have chosen not to specialize in a single school of spells.

###Block: Wizard Arcane Schools Prohibitions
# Ability Name									Clear Description	Description
CATEGORY=Special Ability|Abjuration School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen abjuration spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Conjuration School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen conjuration spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Divination School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen divination spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Enchantment School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen enchantment spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Evocation School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen evocation spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Illusion School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen illusion spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Necromancy School Prohibition.MOD		DESC:.CLEAR		DESC:You have chosen necromancy spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.
CATEGORY=Special Ability|Transmutation School Prohibition.MOD	DESC:.CLEAR		DESC:You have chosen transmutation spells as a probihited school. You take a -5 penalty to Spellcraft checks to identify, learn, and prepare spells of this school, and you lose your specialist bonus power whenever you have prepared any of those.

###Block: Conjuration School Abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Conjuration Specialist Bonus.MOD	DESC:.CLEAR		DESC:You have not prepared any spells from prohibited schools
CATEGORY=Special Ability|Acid Dart ~ Conjuration School.MOD	DESC:.CLEAR		DESC:As a standard action, you can unleash an acid dart targeting any foe within 30 feet as a ranged touch attack. The acid dart deals 1d6 points of acid damage.|PREVAREQ:ConjurationAcidDartDamage,0	DESC:As a standard action, you can unleash an acid dart targeting any foe within 30 feet as a ranged touch attack. The acid dart deals 1d6+%1 points of acid damage.|ConjurationAcidDartDamage|PREVARGT:ConjurationAcidDartDamage,0
###Block: Illusion School Abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Illusion Specialist Bonus.MOD	DESC:.CLEAR		DESC:Any illusion spell you cast with a duration of
CATEGORY=Special Ability|Blinding Ray.MOD				DESC:.CLEAR		DESC:As a standard action, you can fire a blinding ray targeting any foe within 30 feet as a ranged touch attack. The ray causes creatures to be blinded for 1 round. Creatures with more than %1 Hit Dice are dazzled for 1 round instead. Blind creatures are immune to this effect.|BlindingRayHD
